שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
דאניל,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,2,0,0,5,0,2,2,2
דיאא,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,0,2,0,2,2,2,0,0,0,0,0,0,2,0,2
דיאן,48,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,0,2,2,2,0,5,2,5,2,2,7
דיאר,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,2,2,0,2,2,2,2,2,5,5,2,2,2,2,2,2,2
דיין,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,5,2,0,2,0,2,2
דין,111,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,2,10,6,16,21
דן,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,5,5,6,8,5,7,8,17,13,18,15,7,16,15,13
דניאל,616,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,2,2,2,0,0,2,2,0,0,2,0,2,0,2,2,2,2,2,2,2,2,2,10,6,6,13,12,10,20,15,17,26,24,35,16,22,31,23,22,27,22,25,22,24,22,19,21,21,21,10,20,11
דניל,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,0,2,2
האדי,384,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,0,0,2,2,6,2,2,0,6,2,5,6,5,11,2,12,6,8,7,8,13,8,7,10,9,6,12,9,17,15,11,19,15,10,15,9,11,10,12,8,6,9,9,2,2,2,7,2,2,2,2,2,0,2,2,2,2,2
